playerId,Name,HR,AVG,OPS,team
621545,Zach Remillard,0,1.000,2.000,Chicago White Sox
666176,Jo Adell,1,.333,1.833,Los Angeles Angels
647351,Abraham Toro,1,.500,1.431,Milwaukee Brewers
605421,Michael Perez,0,.571,1.285,New York Mets
683021,Michael Stefanic,0,.500,1.250,Los Angeles Angels
594807,Adam Duvall,4,.327,1.112,Boston Red Sox
670242,Matt Wallner,1,.368,1.099,Minnesota Twins
592450,Aaron Judge,19,.291,1.078,New York Yankees
608369,Corey Seager,10,.348,1.048,Texas Rangers
666624,Christopher Morel,12,.292,1.034,Chicago Cubs
660271,Shohei Ohtani,23,.300,1.011,Los Angeles Angels
656811,Ryan O'Hearn,5,.342,1.004,Baltimore Orioles
596103,Austin Slater,1,.431,.992,San Francisco Giants
682641,Luis Matos,0,.375,.990,San Francisco Giants
682998,Corbin Carroll,15,.307,.982,Arizona Diamondbacks
670541,Yordan Alvarez,17,.277,.977,Houston Astros
666160,Mickey Moniak,6,.309,.975,Los Angeles Angels
660670,Ronald Acuna Jr.,15,.326,.966,Atlanta Braves
518692,Freddie Freeman,13,.326,.964,Los Angeles Dodgers
666134,Nolan Jones,4,.324,.963,Colorado Rockies
670042,Luke Raley,12,.270,.947,Tampa Bay Rays
645801,Mike Ford,4,.222,.943,Seattle Mariners
676369,Nelson Velazquez,3,.241,.934,Chicago Cubs
669392,Samad Taylor,0,.333,.933,Kansas City Royals
650490,Yandy Diaz,12,.304,.927,Tampa Bay Rays
624585,Jorge Soler,20,.260,.923,Miami Marlins
650333,Luis Arraez,2,.388,.920,Miami Marlins
656403,Drew Ellis,2,.222,.920,Philadelphia Phillies
669221,Sean Murphy,12,.287,.920,Atlanta Braves
592626,Joc Pederson,7,.281,.912,San Francisco Giants
665487,Fernando Tatis Jr.,14,.285,.912,San Diego Padres
669257,Will Smith,10,.287,.906,Los Angeles Dodgers
680574,Matt McLain,3,.328,.899,Cincinnati Reds
641856,Billy McKinney,1,.310,.896,New York Yankees
605141,Mookie Betts,17,.269,.893,Los Angeles Dodgers
606115,Orlando Arcia,6,.339,.892,Atlanta Braves
681351,Logan O'Hoppe,4,.283,.886,Los Angeles Angels
669261,Jack Suwinski,15,.239,.886,Pittsburgh Pirates
664774,LaMonte Wade Jr.,9,.280,.885,San Francisco Giants
656185,Greg Allen,1,.214,.884,New York Yankees
502110,J.D. Martinez,16,.257,.883,Los Angeles Dodgers
668227,Randy Arozarena,13,.280,.878,Tampa Bay Rays
595453,Chad Wallach,6,.276,.876,Los Angeles Angels
680118,Dairon Blanco,0,.286,.875,Kansas City Royals
502671,Paul Goldschmidt,12,.287,.874,St. Louis Cardinals
665742,Juan Soto,11,.255,.874,San Diego Padres
666163,Ben Rortvedt,0,.286,.873,New York Yankees
624413,Pete Alonso,22,.231,.872,New York Mets
672275,Patrick Bailey,3,.304,.869,San Francisco Giants
672695,Geraldo Perdomo,5,.294,.868,Arizona Diamondbacks
669394,Jake Burger,16,.237,.865,Chicago White Sox
605204,J.D. Davis,10,.291,.865,San Francisco Giants
807799,Masataka Yoshida,7,.309,.862,Boston Red Sox
669720,Austin Hays,8,.312,.858,Baltimore Orioles
666397,Edouard Julien,4,.272,.856,Minnesota Twins
514888,Jose Altuve,3,.278,.855,Houston Astros
608070,Jose Ramirez,11,.287,.855,Cleveland Guardians
666182,Bo Bichette,14,.316,.854,Toronto Blue Jays
656180,Riley Adams,2,.271,.852,Washington Nationals
592206,Nick Castellanos,8,.315,.851,Philadelphia Phillies
606466,Ketel Marte,10,.289,.851,Arizona Diamondbacks
665506,Cristian Pache,1,.310,.850,Philadelphia Phillies
623912,Harold Ramirez,9,.302,.848,Tampa Bay Rays
667670,Brent Rooker,13,.254,.846,Oakland Athletics
660821,Jesus Sanchez,6,.270,.842,Miami Marlins
666139,Josh Lowe,11,.281,.841,Tampa Bay Rays
641857,Ryan McMahon,10,.271,.841,Colorado Rockies
666971,Lourdes Gurriel Jr.,11,.278,.840,Arizona Diamondbacks
673962,Josh Jung,14,.280,.839,Texas Rangers
677649,Ezequiel Duran,8,.294,.838,Texas Rangers
621566,Matt Olson,20,.229,.838,Atlanta Braves
641598,Mitch Garver,3,.264,.837,Texas Rangers
670770,TJ Friedl,3,.307,.836,Cincinnati Reds
656775,Cedric Mullins,8,.263,.835,Baltimore Orioles
673357,Luis Robert Jr.,17,.258,.835,Chicago White Sox
543482,Drew Maggi,0,.333,.833,Pittsburgh Pirates
572233,Christian Walker,14,.265,.833,Arizona Diamondbacks
666135,Alex Kirilloff,4,.274,.829,Minnesota Twins
670623,Isaac Paredes,12,.257,.829,Tampa Bay Rays
665750,Leody Taveras,7,.294,.829,Texas Rangers
446334,Evan Longoria,9,.236,.828,Arizona Diamondbacks
676116,Ryan Noda,7,.246,.828,Oakland Athletics
668939,Adley Rutschman,10,.281,.828,Baltimore Orioles
668715,Spencer Steer,9,.278,.828,Cincinnati Reds
642731,Thairo Estrada,9,.296,.827,San Francisco Giants
666150,Dominic Fletcher,2,.308,.823,Arizona Diamondbacks
641355,Cody Bellinger,7,.267,.822,Chicago Cubs
677551,Wander Franco,8,.295,.822,Tampa Bay Rays
545361,Mike Trout,14,.252,.820,Los Angeles Angels
691023,Jordan Walker,5,.295,.820,St. Louis Cardinals
607680,Kevin Pillar,6,.271,.818,Atlanta Braves
607043,Brandon Nimmo,7,.285,.817,New York Mets
657077,Alex Verdugo,5,.294,.817,Boston Red Sox
657041,Lane Thomas,10,.287,.816,Washington Nationals
665804,Miguel Amaya,2,.257,.815,Chicago Cubs
553869,Elias Diaz,7,.295,.815,Colorado Rockies
669357,Nolan Gorman,15,.240,.814,St. Louis Cardinals
608701,Rob Refsnyder,1,.284,.813,Boston Red Sox
474832,Brandon Belt,4,.263,.812,Toronto Blue Jays
547180,Bryce Harper,3,.296,.812,Philadelphia Phillies
645277,Ozzie Albies,16,.263,.811,Atlanta Braves
