playerId,Name,win,lose,era,whip,team
554430,Zack Wheeler,5,4,3.73,1.10,Philadelphia Phillies
669022,MacKenzie Gore,3,5,3.74,1.38,Washington Nationals
678394,Brayan Bello,3,4,3.78,1.34,Boston Red Sox
686753,Drey Jameson,3,1,3.82,1.50,Arizona Diamondbacks
670950,Trevor Richards,0,1,3.82,1.18,Toronto Blue Jays
666168,Mason Thompson,3,2,3.82,1.19,Washington Nationals
624133,Ranger Suarez,1,2,3.82,1.33,Philadelphia Phillies
621383,Tanner Banks,0,1,3.86,0.94,Chicago White Sox
669854,Ronel Blanco,1,0,3.86,1.71,Houston Astros
670712,Mike Brosseau,0,0,3.86,0.86,Milwaukee Brewers
663992,Richard Lovelady,0,3,3.86,1.00,Oakland Athletics
592826,Vince Velasquez,4,4,3.86,1.31,Pittsburgh Pirates
666129,Braxton Garrett,3,2,3.88,1.22,Miami Marlins
605182,Mike Clevinger,3,4,3.88,1.36,Chicago White Sox
680694,Kyle Bradish,2,3,3.90,1.27,Baltimore Orioles
606149,Giovanny Gallegos,1,3,3.90,1.08,St. Louis Cardinals
675916,James Karinchak,2,4,3.90,1.23,Cleveland Guardians
661527,Seth Martinez,1,2,3.90,1.45,Houston Astros
656756,Jordan Montgomery,3,7,3.91,1.34,St. Louis Cardinals
676440,Tanner Bibee,2,2,3.91,1.24,Cleveland Guardians
656629,Michael Kopech,3,5,3.92,1.27,Chicago White Sox
624647,Victor Gonzalez,1,2,3.93,1.15,Los Angeles Dodgers
668881,Hunter Greene,2,4,3.93,1.35,Cincinnati Reds
608717,Chris Stratton,1,1,3.93,1.12,St. Louis Cardinals
663460,Kris Bubic,0,2,3.94,1.31,Kansas City Royals
571539,Matt Carasiti,1,0,3.94,1.19,Colorado Rockies
502043,Kyle Gibson,8,4,3.94,1.27,Baltimore Orioles
671106,Logan Allen,3,2,3.95,1.46,Cleveland Guardians
493603,Adam Ottavino,0,2,3.95,1.10,New York Mets
677651,Luis Garcia,2,2,4.00,1.30,Houston Astros
608678,Dominic Leone,1,2,4.00,1.17,New York Mets
669432,Trevor Rogers,1,2,4.00,1.22,Miami Marlins
623211,Huascar Brazoban,0,1,4.01,1.51,Miami Marlins
670059,Colin Holderman,0,1,4.01,1.50,Pittsburgh Pirates
605135,Chris Bassitt,7,5,4.02,1.13,Toronto Blue Jays
641401,Connor Brogdon,2,1,4.03,1.45,Philadelphia Phillies
571760,Andrew Heaney,4,4,4.05,1.32,Texas Rangers
665001,Trevor Kelley,0,1,4.05,1.20,Tampa Bay Rays
621381,Matt Strahm,4,3,4.05,1.09,Philadelphia Phillies
682243,Bryce Miller,4,3,4.06,0.92,Seattle Mariners
641941,Emilio Pagan,3,1,4.06,1.10,Minnesota Twins
594902,Ben Lively,4,4,4.07,1.21,Cincinnati Reds
663776,Patrick Sandoval,4,6,4.08,1.42,Los Angeles Angels
666374,Matt Brash,4,3,4.08,1.53,Seattle Mariners
621057,Justin Garza,0,1,4.09,1.09,Boston Red Sox
594580,Sam Moll,0,3,4.10,1.22,Oakland Athletics
607625,Seth Lugo,3,3,4.10,1.37,San Diego Padres
622072,Alex Wood,2,1,4.11,1.46,San Francisco Giants
596001,Jakob Junis,3,3,4.12,1.47,San Francisco Giants
675911,Spencer Strider,7,2,4.12,1.13,Atlanta Braves
664942,James Naile,0,0,4.15,2.54,St. Louis Cardinals
666200,Jesus Luzardo,5,5,4.17,1.27,Miami Marlins
622098,Drew Smith,3,2,4.18,1.27,New York Mets
671737,Taj Bradley,4,3,4.19,1.30,Tampa Bay Rays
595928,John Curtiss,0,0,4.20,1.13,New York Mets
676710,Kutter Crawford,1,3,4.20,1.13,Boston Red Sox
605130,Scott Barlow,2,3,4.21,1.29,Kansas City Royals
656257,Jeff Brigham,0,1,4.21,0.74,New York Mets
592741,Chasen Shreve,1,2,4.21,1.21,Detroit Tigers
657508,Mike Baumann,4,0,4.21,1.21,Baltimore Orioles
668984,Casey Legumina,1,0,4.22,1.78,Cincinnati Reds
624522,Keegan Thompson,2,2,4.22,1.31,Chicago Cubs
547179,Michael Lorenzen,2,4,4.23,1.09,Detroit Tigers
676664,JP Sears,1,4,4.24,1.06,Oakland Athletics
669467,Andre Pallante,2,0,4.26,1.46,St. Louis Cardinals
641154,Pablo Lopez,3,3,4.27,1.11,Minnesota Twins
571670,Dylan Floro,3,4,4.28,1.32,Miami Marlins
621016,Jose Cuas,3,0,4.30,1.47,Kansas City Royals
663855,Jordan Hicks,1,4,4.30,1.53,St. Louis Cardinals
593334,Domingo German,4,4,4.30,1.09,New York Yankees
448179,Rich Hill,6,6,4.31,1.40,Pittsburgh Pirates
592836,Taijuan Walker,7,3,4.31,1.28,Philadelphia Phillies
579328,Yusei Kikuchi,6,2,4.31,1.37,Toronto Blue Jays
656302,Dylan Cease,3,3,4.31,1.34,Chicago White Sox
543101,Anthony DeSclafani,4,6,4.31,1.18,San Francisco Giants
669302,Logan Gilbert,4,4,4.31,1.07,Seattle Mariners
605155,Colten Brewer,0,0,4.32,1.08,New York Yankees
656290,Drew Carlton,2,0,4.32,0.96,San Diego Padres
628452,Raisel Iglesias,2,2,4.32,1.32,Atlanta Braves
605288,Adrian Houser,2,2,4.33,1.56,Milwaukee Brewers
622554,Seranthony Dominguez,1,2,4.33,1.56,Philadelphia Phillies
596112,Robert Stephenson,1,3,4.34,1.29,Tampa Bay Rays
621295,Nick Wittgren,0,0,4.35,1.45,Kansas City Royals
641745,Brad Keller,3,4,4.36,1.87,Kansas City Royals
571945,Miles Mikolas,4,4,4.36,1.36,St. Louis Cardinals
656232,Brandon Bielak,3,4,4.37,1.61,Houston Astros
605397,Joe Musgrove,4,2,4.37,1.33,San Diego Padres
573009,Joe Mantiply,1,0,4.38,0.97,Arizona Diamondbacks
676477,Garrett Whitlock,4,2,4.38,1.23,Boston Red Sox
640448,Kyle Finnegan,3,3,4.39,1.58,Washington Nationals
628711,Julio Urias,5,4,4.39,1.16,Los Angeles Dodgers
656288,Griffin Canning,5,2,4.40,1.21,Los Angeles Angels
434378,Justin Verlander,2,3,4.40,1.22,New York Mets
670912,Johan Oviedo,3,6,4.40,1.47,Pittsburgh Pirates
677865,Justin Bruihl,1,0,4.41,1.29,Los Angeles Dodgers
664192,Joey Lucchesi,1,0,4.43,1.34,New York Mets
453286,Max Scherzer,5,2,4.45,1.24,New York Mets
672282,Reid Detmers,1,5,4.48,1.46,Los Angeles Angels
607536,Kyle Freeland,4,8,4.48,1.34,Colorado Rockies
641427,Alan Busenitz,0,0,4.50,2.00,Cincinnati Reds
660787,Yerry De Los Santos,0,0,4.50,1.50,Pittsburgh Pirates
668970,Gavin Hollowell,0,0,4.50,1.50,Colorado Rockies
690829,Ben Joyce,1,0,4.50,2.25,Los Angeles Angels
518886,Craig Kimbrel,5,1,4.50,1.14,Philadelphia Phillies
643396,Isiah Kiner-Falefa,0,0,4.50,1.50,New York Yankees
673111,Jose Lopez,0,0,4.50,2.00,Tampa Bay Rays
571912,Luke Maile,0,0,4.50,2.00,Cincinnati Reds
663474,Triston McKenzie,0,1,4.50,1.20,Cleveland Guardians
663558,Jovani Moran,0,2,4.50,1.43,Minnesota Twins
613564,Jason Vosler,0,0,4.50,2.50,Cincinnati Reds
592866,Trevor Williams,3,4,4.50,1.41,Washington Nationals
527048,Martin Perez,6,3,4.54,1.50,Texas Rangers
572403,Drew VerHagen,3,0,4.55,1.39,St. Louis Cardinals
523260,Joe Kelly,1,3,4.57,1.25,Chicago White Sox
694363,Jared Shuster,4,2,4.57,1.38,Atlanta Braves
519242,Chris Sale,5,2,4.58,1.19,Boston Red Sox
676596,Josh Fleming,1,0,4.62,1.44,Tampa Bay Rays
666159,Matt Manning,1,1,4.63,1.29,Detroit Tigers
668868,Zack Thompson,1,2,4.63,1.80,St. Louis Cardinals
682847,Luis L. Ortiz,1,3,4.64,1.76,Pittsburgh Pirates
656427,Jack Flaherty,3,5,4.64,1.59,St. Louis Cardinals
425844,Zack Greinke,1,6,4.65,1.13,Kansas City Royals
640444,Wil Crowe,0,1,4.66,1.86,Pittsburgh Pirates
667463,John King,0,0,4.66,1.86,Texas Rangers
663804,Jackson Kowar,0,0,4.66,1.34,Kansas City Royals
605400,Aaron Nola,6,5,4.66,1.10,Philadelphia Phillies
674072,Tommy Henry,3,1,4.66,1.39,Arizona Diamondbacks
622608,Antonio Senzatela,0,1,4.70,1.17,Colorado Rockies
665795,Edward Cabrera,5,5,4.70,1.40,Miami Marlins
657376,Clarke Schmidt,2,6,4.70,1.40,New York Yankees
686973,Louie Varland,3,2,4.70,1.26,Minnesota Twins
607067,Colin Rea,3,4,4.71,1.26,Milwaukee Brewers
642547,Freddy Peralta,5,6,4.73,1.36,Milwaukee Brewers
665152,Dean Kremer,7,3,4.74,1.43,Baltimore Orioles
506433,Yu Darvish,5,5,4.74,1.20,San Diego Padres
592773,Ryne Stanek,2,1,4.76,1.63,Houston Astros
621074,Michael Rucker,1,1,4.78,1.67,Chicago Cubs
571578,Patrick Corbin,4,7,4.81,1.54,Washington Nationals
664776,Jake Cousins,0,0,4.82,2.14,Milwaukee Brewers
656731,Tylor Megill,6,4,4.83,1.61,New York Mets
663687,Hogan Harris,2,0,4.84,1.07,Oakland Athletics
